word,definition
أبز,"أبز الظبى يأبز، أي قفز في عدوه، فهو أباز وأبوز. قال الراجز: يا رب أباز من العفر صدع * تقيض الذئب إليه واجتمع [[بعده: لما رأى أن لا دعه ولا شبع * مال إلى أرطاة حقف فاضطجع]] * وقال آخر [[هو جران العود.]] : لقد صبحت حمل بن كوز * علالة من وكرى أبوز * تريح بعد النفس المحفوز إراحة الجداية النفوز [[يروى: "" النقوز "" أيضا. الجداية: الظبية. ; والنفوز: التى تنفز، أي تثب.]] * قال أبو الحسن محمد بن كيسان: قرأته على ثعلب "" جمل بن كوز "" بالجيم، وأخذه على بالحاء. قال: وأنا إلى الحاء أميل. يقول: سقيته علالة من عدو فرس صبوحا، يعنى أنه أغار عليه وقت الصبح، فجعل ذلك صبوحا له."
أبس,"الأصمعي: أَبَّسْتُ به تَأْبيساً، أي ذَلَّلْتُهُ وحقّرته، وكسَّرته. قال الشاعر [[هو عباس بن مرداس يخاطب خفاف بن ندبة.]] : إنْ تَكُ جُلْمودَ بِصْر لا أُؤَبَّسُهُ * أُوقِدَ عليه فأَحْميهِ فَيَنْصَدِعُ [[في اللسان: "" جلمود صخر "". ; وبعده: السلم تأخذ منها ما رضيت به * والحرب يكفيك من أنفاسها جرع]] * قال: وأبَسْت به أَبساً مثلُه. ; وأنشد للعجَّاج: ; أُسودُ هَيْجا لم تُرَم بِأَبْسِ [[في اللسان: ; وليث غاب لم يرم بأبس]] * والأَبْسُ أيضاً: المكان الخشن، مثل الشأز. قال الراجز [[هو منظور بن مرثد الاسدي.]] : يتركن في كل مناخ أبس * كل جنين مشعر في غرس [[في اللسان: "" في الغرس "".]] * ويروى: "" مناخ إنس "" بالنون والاضافة، أي في كل منزل ينزله الناس. ; والتأبس: التغيُّر. ; ومنه قول المتلمس: ; تُطيفُ به الايام ما يتأبس [[صدره: ; ألم تر أن الجو أصبح راسيا]]"
أبض,الأُبضُ بالضم: الدهرُ، والجمع آباضٌ. قال رؤبة: ; في حِقْبَةٍ عِشْنا بذاك أبْضا [[خدن اللواتى يقتضبن النعضا * فقد أفدى مرجما منقضا:]] * والمأْبِضُ: باطن الركبة من كل شئ، والجمع مآبِضُ. الأصمعي: يقال أَبَضْتُ البعيرَ آبُضُهُ أَبْضاً بالفتح، وهو أن تشدّ رسغَ يده إلى عضده حتَّى ترتفع يدهُ عن الأرض. ; وذلك الحبل هو الاباض، بالكسر. ; وأبو زيد نحو منه. قال الشاعر: أقول لصاحبي والليل داج * أبيضك الاسيد لا يضيع * يقول: احفظ إباضك الاسود لا يضيع، فصغره. ; ويقال تَأَبَّضَ البعيرُ فهو مُتَأَبِّض، وتَأَبَّضَهُ غيره، كما يقال زاد الشئ وزدته. ; والتأبض: انقباض النسا، وهو عِرْقٌ. يقال أَبضَ نَساهُ وأَبَضَ. ; والاباضية: فرقة من الخوارج، أصحاب عبد الله بن إباض التميمي. ; وأباض [[أباض، أي بالضم: موضع باليمامة. ; وقيل قرية هناك لم ير أطول من نخيلها، وعندها كانت وقعة خالد بن الوليد بمسيلمة الكذاب. ; وقيل إن زيد بن الخطاب قتل هناك اهـ‍. نقله م ر عن ياقوت.]] : اسم موضع.
أبط,الإِبِطُ: ما تحت الجَناح، يذكَّر ويؤنّث، والجمع آباطٌ. ; وحكى الفراء عن بعض الأعراب: فرفع السوطَ حتَّى بَرَقَتْ إبْطُهُ. ; وتَأَبَّطَ الشئ، أي جعله تحت إبطه. ; والتَأَبُّطُ: الاضطباعُ، وهو أن يُدخل رداءه تحت يده اليمنى ثم يلقيَه على عاتقه الأيسر. ; وكان أبو هريرة رضي الله عنه رِدْيَتُهُ التَأَبُّطُ. ; والإبْطُ من الرمل: مُنْقَطَعُ معظمهُ. ; واسْتَأْبَطَ فلان، إذا حفر حُفرةً ضيّق رأسها ووسَّع أسفلها. قال الراجز: ; يحفر ناموسا له مُسْتَأْبطا * وكان ثابت بن جابرٍ الفهميُّ يسمَّى تَأَبَّطَ شرّاً، لانهم زعموا أنه كان لا يفارقه السيف. تقول: جاءني تأبط شرا، ومررت بتأبط شرا، تدعه على لفظه، لانك لم تنقله من فعل إلى اسم، وإنما سميت بالفعل مع الفاعل جميعا رجلا، فوجب أن تحكيه ولا تغيره. ; وكذلك كل جملة يسمى بها، مثل برق نحره، وذرى حبا. فإن أردت أن تثنى أو تجمع قلت: جاءني ذوا تأبط شرا، وذوو تأبط شرا. ; وتقول: كلاهما وكلهم ونحو ذلك. ; والنسبة إليه تأبطي، تنسب إلى الصدر، ولا يجوز تصغيره ولا ترخيمه. ; وقول الهذلى [[هو المتنخل.]] : شربت بجمه وصدرت عنه * وأبيض صارم ذكر إباطى [[قوله إباطى أصله إباطى فخفف ياء النسب، وعلى هذا يكون صفة لصارم، وهو منسوب إلى الابط.]] * أي تحت إبطى.
أبغ,"عين أباغ [[قوله "" أباغ "" في نسخة المدينة بالضم وفى القاموس: عين أباغ كسحاب ويثلث.]] : موضع بين الكوفة والرقة. قالت امرأة من بنى شيبان [[قال ابن برى: الشعر لابنة المنذر، تقوله بعد موته.]] بعين أباغ قاسمنا المنايا فكان قسيمها خير القسيم [[قبله: وقالوا فارسا منكم قتلنا فقلنا الرمح يكلف بالكريم]] ومنه يوم عين أباغ: يوم من أيام العرب قتل فيه المنذر بن ماء السماء."
أبق,"أَبَقَ العبدُ [[أبق العبد كسمع، وضرب، ومنع. أبقا، وأبقا، وإباقا.]] يَأْبِقُ ويأْبُقُ إباقاً، أي هرب. ; وتَأَبَّقَ: استتر، ويقال احتبس. ; ومنه قول الأعشى: ; ولكنْ أَتاهُ الموتُ لا يَتَأَبَّقُ [[صدره: ; فذاك ولم يعجز من الموت ربه]] * وقال آخر: ألا قالت بهان ولم تأبق كبرت ولا يليق [[يروى: "" ولا يليط "". ; والشعر لعامر بن كعب بن عمرو بن سعد، وبعده: بنون وهجمة كأشاء بس صفايا كثة الاوبار كوم]] بك النعيم والابق بالتحريك: القنب [[وقيل قشره، وقيل الحبل منه.]] ومنه قول زهير: القائِدَ الخيلِ منكوباً دَوابِرُها قد أحكمت حكمات القد والابقا"
أبل,"الإبْلُ لا واحد لها من لفظها، وهي مؤنَّثة لأنَّ أسماء الجموع التي لا واحدَ لها من لفظها إذا كانت لغير الآدميين، فالتأنيث لها لازمٌ. ; وإذا صغرتها أدخلتها الهاء، فقلت أبيلة وغنيمة، ونحو ذلك. ; وربما قال للابل إبل، يسكنون الباء للتخفيف. ; والجمع آبال. ; وإذا قالوا إبلان وغنمان فإنما يريدون قطيعين من الابل والغنم. ; وأرض مأبلة: ذات إبل. ; والنسبة إلى الابل إبلى، يفتحون الباء استيحاشاً لتوالي الكسَرات. ; وإبل أبل، مثال قبر، أي مهملة. فإن كانت للقُنْيَةِ فهي إبِلٌ مُؤبَّلَةٌ. فإن كانت كثيرة قيل إبِلٌ أَوابِلُ. قال الأخفش: يقال جاءت إبِلُكَ أَبابيلَ، أي فِرقاً. ; وطيرٌ أبابيل. قال: وهذا يجئ في معنى التكثير، وهو من الَجمْع الذى لا واحد له. ; وقد قال بعضهم: واحده أبول، مثل عجول. ; وقال بعضهم: إبيل. قال: ولم أجد العرب تعرف له واحدا وأبلت الابل والواحش تأبل وتأبل أبولا، أي اجتزأتْ بالرُطْبِ عن الماء. ; ومنه قول لبيد: وإذا حَرَّكْتُ رِجْلي أَرْقَلَتْ بيَ تَعْدو عَدْوَ جون قد أبل الواحد آبل، والجمع أبال، مثل كافر وكفار. ; وأبل الرجل عن امرأته، إذاً امتنع من غشيانها، وتأبل. ; وفى الحديث: "" لقد تأبل آدم عليه السلام على ابنه المقتول كذا وكذا عاما لا يصيب حواء "". ; وأبل الرجل بالكسر يأبل أبالة، مثل شكس شكاسة، وتمه تماهة، فهو أبل وآبل، أي حاذقٌ بمصلحة الإبِل. ; وفلان من آبلِ الناس، أي من أشدّهم تأنُّقاً في رِعْيَةِ الإبِلِ وأعلمهم بها. ; ورجلٌ إبَليُّ بفتح الباء، أي صاحب إبِلٍ. ; وأَبَّلَ الرجلُ، أي اتخذ إبلا واقتناها. ; وقال حميد بن ثور [[في بعض النسخ بدله "" طفيل "". ; وفى اللسان: قال طفيل في تشديد الباء. ; وفى المخطوطات "" طفيل "" أيضا]] : فأبل واسترخى به الخطب بعد ما أساف ولولا سعينا لم يؤبل وأبلت الابل، أي اقتنيت، فهى مَأْبولَةٌ. ; وفلان لا يَأْتَبِلُ، أي لا يَثْبُتُ على الإبل إذا ركبها، وكذلك إذا لم يقم عليها فيما يصلحها. عن أبى عبيد. ; والابلة بالتحريك: الوَخامة والثِقَلُ من الطعام. ; وفي الحديث: "" كلُّ مالٍ أدّيتَ زكاته ذهبت أبلته [[ويروى: "" وبلته "" وقيل من الوبال، فإن كانت الهمزة أصلا فقد قلبت واوا، أو الواو أصلا فقد قلبت همزة.]] "". ; وأصله وبلته من الوبال، فأبدل بالواو الالف، كقولهم أحد وأصله وحد. ; والابالة بالكسر: الحُزْمة من الحطب. ; وفي المثل: "" ضِغْثٌ على إبَّالَةٍ "". أي بليّةٌ على أخرى كانت قبلها. ; ولا تقل إيبالة، لان الاسم إذا كان على فعالة بالهاء لا يبدل من أحد حرفي تضعيفه ياء، مثل صنارة ودنامة، وإنما يبدل إذا كان بلا هاء، مثل دينار وقيراط. ; وبعضهم يقول إبالة مخففا، وينشد [[في نسخة زيادة: "" لاسماء بن خارجة ""]] لى كل يوم من ذؤاله ضغث يزيد على إبالة [[بعده: فلا حشأنك مشقصا أوسا أويس من الهباله]] والابلة بالضم وتشديد اللام: الفدرة من التمر. ; وأنشد ابن السكيت [[في نسجة: "" لابي المثلم "".]] : فيأ كل مارض من زادنا ويأتى الابلة لم ترضض [[بعده: له ظبية وله عكة إذا أنفض الناس لم ينفض]] والابلة أيضا: مدينة إلى جنب البصرة. ; والابيل: راهب النصارى. قال عدى ابن زيد: إننى والله فاقبل حلفى بأبيل كلما صلى جأر وكانوا يسمون عيسى عليه السلام: أبيل الابيلين [[يقال: أبل يأبل إبالة، إذا ترهب وتنسك، والنبى: لم يغش النساء. ; ويروى: "" أبيل الابيليين "" على النسب]] قال الشاعر [[في نسخة زيادة: "" حميد بن ثور "". ; وفى المرتضى: "" لعمر وبن عبد الجن "".]] : أما ودماءٍ مائِراتٍ تَخالُها على قُنَّةِ العُزَّى وبالنَسْرِ عَنْدَما وما سَبَّحَ الرهبانُ في كل بِيعَةٍ [[يروى: ; ما قدس الرهبان في كل هيكل]] أَبِيلَ الأَبيلينَ المسيحَ ابنَ مريما لقد ذاق منا عامِرٌ يومَ لَعْلَعٍ حساما إذا ماهز بالكف صمما"
أبن,الاين: الاعياء. قال أبو زيد: لا يبنى منه فعل. ; وقد خولف فيه. ; والاين: الحية، مثل الأيْمِ. ; وآنَ أَيْنُكَ، أي حان حَيْنك. ; وآنَ لكَ أن تفعل كذا يئين أينا، عن أبى زيد، أي حانَ، مثل أنى لك، وهو مقلوب منه. ; وأنشد ابن السكيت: أَلَمَّا يَئِنْ لي أَنْ تُجَلّى عَمايَتي وأُقْصِرُ عن لَيْلي بَلى قد أَنى لِيا فجمع بين اللغتين. ; وأَيْنَ: سؤالٌ عن مكان. إذا قلت أَيْنَ زيد فإنّما تسأل عن مكانه. (*) وأيان: معناه أي حين، وهو سؤال عن زمان، مثل متى. قال الله تعالى: (أَيَّان مرساها) . ; وإيان، بكسر الهمزة: لغة سليم، حكاها الفراء. ; وبه قرأ السلمى: (إيان يبعثون) . ; والآن: اسم للوقت الذى أنت فيه، وهو ظرف غير متمكن، وقع معرفة ولم تدخل عليه الالف واللام للتعريف، لانه ليس له ما يشركه. ; وربما فتحوا منه اللام وحذفوا الهمزتين. ; وأنشد الاخفش: وقد كنت تخفى حب سمراء حقبة. فبح لان منها بالذى أنت بائح
أبه,أبو زيد: ما أبهت للامرآبه أبها، وهو الامر تنساه ثم تَتَنبّهُ له. ; ويقال أيضاً: ما أبِهتُ له بالكسر آبه أبها، مثل نبهت نبها. ; والابهة: العظمة والكبر. يقال: تأَبَّهَ الرجُل، إذا تكبَّر. ; وربما قالوا للابح: أبه.
أبى,أوفى الخزاعى يهجو امرأة وليست بتاركة محرما * ولو حف بالاسل الشرع * وحيتان شرع، أي شارِعاتٌ من غمرة الماء إلى الجد.
