word,definition
أَجَلَّ,"[ج ل ل]. (فعل: رباعي لازم متعد بحرف). أَجْلَلْتُ، أُجِلُّ، أَجْلِلْ، مصدر إِجْلاَلٌ. ; 1.""أَجَلَّ الرَّجُلُ"" : عَظُمَ وَقَوِيَ. ; 2.""أجَلَّهُ لأعْمَالِهِ العَظِيمَةِ"" : عَظَّمَهُ، بَجَّلَهُ. ; 3.""يُجِلُّهُ عَنْ كَلِّ العُيُوبِ"" : يُنَزِّهُهُ."
اِسْتَحَثَّ,"[ح ث ث]. (فعل: سداسي متعد بحرف). اِسْتَحْثَثْتُ، أَسْتَحِثُّ، اِسْتَحِثَّ، مصدر اِسْتِحْثَاثٌ. ""اِسْتَحَثَّهُ عَلَى فِعْلِ الخَيْرِ"" : حَثَّهُ، حَضَّهُ عَلَى فِعْلِهِ."
حَرْسٌ,"[ح ر س]. (مصدر حَرَسَ). ""عاشَ حَرْساً"" : زَمَناً طَويلاً، دَهْراً."
خَرْخَرَ,"[خ ر خ ر]. (فعل: رباعي لازم). خَرْخَرْتُ، أُخَرْخِرُ، خَرْخِرْ، مصدر خَرْخَرَةٌ. ; 1.""خَرْخَرَ النَّائِمُ"" : خَرَّ، غَطَّ. ""خَرْخَرَ مِثْلَ الهِرِّ"". ; 2.""خَرْخَرَ الْمَاءُ "" : تَرَدَّدَ صَوْتُهُ."
اِدَّعَى,"[د ع و]. (فعل: خماسي لازم متعد بحرف). اِدَّعَى، يَدَّعِي، مصدر اِدِّعَاءٌ. ; 1. ""اِشْتَدَّ بِي التَّعَبُ فادَّعَيْتُ الرَّاحَةَ"": تَمنَّيْتُهَا. ; 2. ""اِدَّعَى عَلَيْهِ"" : حَاكَمَهُ عِنْدَ القاضِي. ; 3.""اِدَّعَى بِأَنَّ الكِتَابَ لَهُ"" : زَعَمَ أَنَّهُ لَهُ حَقّاً أَوْ بَاطِلاً. ""يَدَّعِي مَا لَيْسَ لَهُ"" ""يَدَّعِي الإِصْلاَحَ وَيَأْتِي الفَسَادَ"". ; 4.""يَدَّعِي الكَرَمَ وَهُوَ بَخِيلٌ"" : يُخْبِرُ عَنْ نَفْسِهِ بِذَلِكَ. ; 5.""اِدَّعَى إلى غَيْرِ أَبِيهِ"" : اِنْتَسَبَ. ; 6. ""اِدَّعَى علَى شَرِيكِهِ الاخْتِلاَسَ"" : نَسَبَهُ إِلَيْهِ وخاصَمَهُ فِيهِ. ""البَيِّنَةُ عَلَى مَنِ ادَّعَى واليَمِينُ على مَنْ أَنْكَرَ""."
دَلَجَ,"[د ل ج]. (فعل: لازم، متعد بحرف). دَلَجْتُ، أَدْلِجُ، اِدْلِجْ، مصدر دُلوجٌ، دَلْجٌ. ; 1.""دَلَجَ السَّاقِي"" : أَخَذَ الدَّلْوَ مِنَ البِئْرِ فَجاءَ بِها إلى الحَوْضِ فَأَفْرَغَها فيهِ. ; 2.""دَلَجَ بِحِمْلِهِ"" : نَهَضَ بِهِ مُثْقَلاً."
دَلْدَلَ,"[د ل ل]. (فعل: رباعي متعد). دَلْدَلْتُ، أُدَلْدِلُ، مصدر دَلْدَلَةٌ. ""دَلْدَلَ أَعْضاءَهُ"" : حَرَّكَها في الْمَشْيِ."
دَلٌّ,"[د ل ل]. (مصدر دَلَّ). ; 1.""اِمْرَأَةٌ ذاتُ دَلٍّ"" : ذاتُ دَلالٍ. ; 2.""هُوَ في دَلٍّ"" : فِي حالَةِ السُّكونِ والوَقارِ الَّتِي يَكونُ عَلَيْها."
دَلَّى,"[د ل و]. (فعل: رباعي متعد بحرف). دَلَّيْتُ، أُدَلِّي، دَلِّ، مصدر تَدْلِيَةٌ. ; 1.""دَلَّى الدَّلْوَ في البِئْرِ"" : أَنْزَلَها في قَعْرِ البِئْرِ. ; 2.""دَلَّى الدَّلْوَ مِنَ البِئْرِ"" : جَذَبَها سَحَبَها لِيُخْرِجَها مَلْأَى. ; 3.""دَلاَّهُ مِنْ أَعْلَى العِمارَةِ بِواسِطَةِ حَبْلٍ"" : أَرْسَلَهُ، أَنْزَلَهُ. ""يُدَلِّينَ شُعورَهُنَّ"". ; 4.""دَلَّى حاجَتَهُ"" : طَلَبَها. ; 5.""دَلاَّهُ بِغُرورٍ"" : أَوْقَعَهُ فيما أَرادَ مِنْ تَغْريرٍ."
دَنَأَ,"[د ن أ]. (فعل: ثلاثي لازم). دَنَأَ، يَدْنَأُ، مصدر دَناءَةٌ. ""دَنَأَ الرَّجُلُ"" : خَبُثَ، اِنْحَطَّ، خَسَّ."
دَواهٍ، الدَّواهِي,"[د هـ ي]. ""نَزَلَتْ بِهِ الدَّواهِي"" : النَّوائِبُ، الكَوارِثُ."
دَوْلِيٌّ، دُوَلِيٌّ,"[د و ل]. (مَنْسوبٌ إلى الدَّوْلَةِ والدُّوَلِ). ; 1.""أَحْرَزَ على لَقَبٍ دَوْلِيٍّ"" : أَيْ عالَمِيّ. ; 2.""اِتِّفاقٌ دُوَلِيٌّ"" : اِتِّفاقٌ تَشْتَرِكُ فيهِ عِدَّةُ دُوَلٍ. ""مِنْطَقَةٌ دَوْلِيَّةٌ"" ""مِياهٌ دَوْلِيَّةٌ""."
ذَعورٌ,"[ذ ع ر]. (صيغَةُ فَعول). ; 1.""رَجُلٌ ذَعورٌ"" : خائِفٌ، فَزِعٌ. ; 2.""اِمْرَأَةٌ ذَعورٌ"" : خَائِفَةٌ مِنَ الرِّيبَةِ والكَلامِ القَبيحِ."
ذَكورٌ,"[ذ كـ ر]. (صِيغَةُ فَعُول لِلْمُبالَغَةِ). ""وَلَدٌ ذَكورٌ"": كَثيرُ الحِفْظِ في ذِهْنِهِ، حَسَنُ الذَّاكِرَةِ."
تَرَاءٍ، التَّرَائِي,"[ر أ ي]. (مصدر تَرَاءى). ; 1.""التَّرَائِي فيِ المِرْآةِ"" : النَّظَرُ فيهَا. ; 2.""تَرَائِي الأَشْبَاحِ أَمَامَهُ"" : تَرَاقُصُهَا، ظُهُورُهَا ."
سِخْرِيٌّ,"[س خ ر] . (مصدر سَخَرَ) . "" اِتَّخَذَهُ سِخْرِيّاً "" : مَثَارَ اسْتِهْزَاءٍ .المؤمنون آية 110 فاتَّخَذْتُمُوهُمْ سِخْرِيّاً حَتَّى أنْسَوْكُمْ ذِكْرِي (قرآن)."
