word,definition
أبذأ,أبْذَأَ يُبْذِيءُ إِبْذاءً : فحش وجاء بالفاحشة؛ لا تُبْذِىء في كلامك.
أبذى,أَبْذَى يُبْذِي أَبْذِ إِبْذاءً [بذي]: جاء بالفحش.
أبر,أَبَرَ يَأْبُرُ أُؤبُرْ أَبْراً واِئْبرْ أَبْراً وإِبارةً : - الزَرَعَ أو الشجرَ: أصلَحه أو ألقحه.- تِ النحلة الرجلَ: لسعته.- بين الناس: نَمَّ؛ لا تأبرْ بين الناس مسيئاً لصداقاتك.
أبرأ,أبْرَأَ يُبْرِىءُ إِبْراءً :- ـه من علّته: شفاه منها؛ لا يبريءُ عليلاً ولا يَشفي غليلاً، أي لا ينفع.- الشخصَ من الدَّيْن: جعله بريءَ الذمة منه.
إبرة_آدم,إِبْرَةُ آدمَ : نبات تزييني معمّرمن فصيلة الزنبقيات.
إبرة_الراعي,إِبْرَةُ الرَّاعي : نبات عشبيّ برّيّ طبّيّ.
أبرج,أَبْرَجَ يُبْرِجُ إِبْراجاً : بنَى بُرجاً.- اللَّهُ السماءَ: جعلها ذات بروج وزيَّنها بالكواكب.
أبرح,أَبْرَحَ يُبْرحُ إِبْراحاً :- به: بالغ في إيذائه؛ لا تبْرِح به ضرباً.- الشيءَ: أزاله عن مكانه؛ أَبرحتُ الخزانةَ من غرفتي.- الشيءُ قُلاناً: أعجبه؛ أبرحه المنظر الجميل.- ـه: أكرمه وعظّمه.
أبرد,أَبردَ يُبْرِدُ إِبْراداً : دخل في البرد.- إليه البريدَ: أَرسل إليه الرسائل أو ما شاكلها؛ كانوا يُبردون البريدَ بالحمام الزاجل.- ـه: جعله بارداً؛ أبرد الماءَ.- ـه: جعله فاتراً ضعيفاً؛ أبرده المرضُ.
أبر,أَبَرَّ يُبِرُّ إِبْراراً :- اليمينَ والوعدَ ونحوهمَا: صدق في التنفيذ ووفى؛ أبرَّ وعده ولم يخلفه.- اللهُ حجَّه: قَبِله.- الجنودُ: نزلوا إلى البرَّ إمّا من البحر أو من الجوّ بالمظلات.- على القوم: غلبهم.
أبرز,أَبْرَزَ يُبْرِزُ إِبْرازاً :- الشيءَ: أظهره وبينه؛ أبرز الشاهدُ حقيقة ما رأى أمام القاضي/ أبرز الكتابَ، أي نشره--: عزم على السَّفر.
أبرص,أبْرَصَ يُبْرِصُ إِبْراصاً :- ـه اللهُ: رماه بمرض البَرَصِ.
أبرق,أَبْرَقَ يُبْرِقُ إِبْراقاً :- تِ السماءُ. أتت بالبرق.- الرجلُ: تهدّد وأوعد؛ أبرِقْ وأرعِدْ ما شئتَ فلن أخشاك.- إلى أهله: أرسل برقيّة أي رسالة بجهاز البرق ذي الإشارات الخاصة.
أبرك,أَبْرَكَ يُبْرِكُ إِبْراكاً :- البعيرَ: أناخه؛ أَبرك بعيره بعد طول مسير.- في عَدْوِه: أسرع.
أبرم,أَبْرَمَ يُبْرِمُ إِبْراماً :- الحبلَ. أجاد فَتَّله.- الأَمرَ. أحكمه أمْ أَبْرَمُوا أَمْراً فَإِنَّا مُبْرِمُونَ.- القاضي الحكم: قطع به وأيَّده؛ محكمة النقض تُبرم الأحكام النهائية.- ـه: أضجره وأَمَلَّهَ؛ أبرمه الحديثُ المكرّر.
إبريل,إِبْريلُ : الشهر الرابع من السنة الشمسية ويعرف كذلك بنيسان.
أبزى,أَبْزَى يُبْزِي أَبْزِ إِبْزاءً :- تِ المرأةُ الصبيَّ: أرضعته؛ أيَّتُها الأم الحنون أَبْزِي طفلك.
أبسر,أَبْسَرَ يُبْسِرُ إِبْساراً :- النخلُ: صار ما عليه بُسْراً أي ثمراً لم ينضج.- النخلَ: لقحه قبل أوانه.- القرحةَ: عصرها قبل أن تقيح؛ رفض الطبيب أن يبسر القرحة.
أبس,أَبَسَّ يُبِسُّ أَبْسِسْ إبْساساً :- الإِبِلَ: زجرها أوَ دعاها بقوله بِسْ بِسْ.- بالناقة: دعاها إلى الحلب.
أبش,أَبَشَ يَأْبُشُ أَؤْبُشْ أَبْشاً :- الأشياءَ: جمعها كيفما اتفق.- لأهله: كسب.
أبشر,أَبْشَرَ يُبْشِرُ إِبْشاراً : فرج وأَبْشِرُوا بِالْجَنَّةِ الَّتِي كُنْتُمْ تُوعَدُونَ.- تِ الأرضُ: أخرجت نباتها؛ أقبل الربيع فأبشرت الأرضُ.- الشخصَ. أفرحه.
أبش,أبَشَّ يُبِشُّ إِبْشاشاً :- تِ الأرضُ: أنبتتْ أولَ نباتها؛ تهلل وجه المزارع إذ رأى أرضه تبشّ.
أبشم,أَبْشَمَ يُبْشِمُ إِبْشاماً :- ــه الطعامُ: أتخمه؛ اكتشف الطبيب أنّ سبب هذا المرض هو الإبْشام.
أبصر,أَبْصَرَ يُبْصِرُ إِبْصاراً : رأى لَهُمْ قُلُوبٌ لا يَفْقَهُونَ بهَا وَلَهُمْ أَعْينٌ لا يُبْصِرُونَ بِهَا.- النهارُ: أضاء. هُوَ الَّذِي جَعَلَ لَكُمُ اللَّيْلَ لِتسْكُنُوا فِيهِ والنَّهَارَ مُبْصِراً.
أبطأ,أَبْطَأَ يُبْطِىءُ إِبْطاءً : تأخّر؛ لاتبطىءْ في إنجاز عملك.
أبطر,أَبْطَرَ يُبْطِرُ إِبْطاراً .- ـه: جعله يغالي في زهوه واستخفافه ويتغطرس؛ أبطرتْه النعمة.- فلاناً ذَرْعَه: حمّله ما لا يطيق.
أبطل,أَبْطَلَ يُبْطِلُ إِبْطالاً : جاء بالباطل أي بما هو غير صحيح.- الشيءَ أو الحكمَ: ألغاه؛ أبطل القاضي البيع بعد أن لاحظ فيه الغشّ.- أفسد. لا تُبْطِلُوا صَدَقَاتِكُمْ بِالْمَنِّ وَالأَذَى.
أبطن,أَبْطَنَ يُبْطِنُ إِبْطاناً .- ـه: أخفاه؛ يُبْطن غيرَ ما يُظهر.- الثوبَ: جعل له دِثاراً داخليّاً.
أبعد,أَبْعَدَ يُبْعِدُ إِبْعاداً : بَعُدَ؛ أبعد فلان فى السفر،- ــه: أقصاه ونحّاه؛ أبعد الغُزاةُ الكثير من المناضلين عن ديارهم.- ـه اللْهُ: دعاء بالهلاك.
أبغض,أَبْغَضَ يُبْغِضُ إِبْغَاضاً :- ــه: مقته وكرهه؛ أبغضتْه الجماعةُ لإفساده ذاتَ بينهم.
أبق,أبَقَ يَأبَقُ اِئْبَقْ أَبْقاً وإِبَاقاً :- العبدُ: هرب من سيده.
أبقل,أَبْقَلَ أَبْقَلَ يُبْقِلُ إِبْقالاً :- القومُ: رعت ماشيتُهم البقلَ،- الأرضُ: أخرجت بقلها.
أبقى,أَبْقَى يُبْقِي أَبْقِ إِبْقاءَ [ بقي] :- ـه: تركه على حاله؛ أبقاه جاهلاً.- ـه: حفظه؟ أبقاك اللهُ.- عليه: حفظه؛ أبقى على ماله،
أبكر,أَبْكَرَ يُبْكِرُ إِبْكاراً : خرج أول النهار.
أبكى,أَبْكَى يُبْكِي أَبْكِ إِبْكاءَ [ بكي]:- ـه: جعله يبكي أي تدمع عيناه حزناً أوألما؛ أبكتِ الطفلَ إذ لم ترضعه.
أبل,أبَلَ يابُلُ اُوبُلْ أُبُولًآ وأبْلاً :- ت الإبلُ: كثرت أو توحّشت.- الشخصُ: كثرت إبله. أَبْلاً وأَبَالة: تنسّك وترهّب.
أبلج,أَبْلَجَ يُيْلِجُ إبْلاجاً : ظهر؛ أبلج الحقُّ/ أبلج الصبح.- الشيءَ: كشفه؛ أَبْلَجَ السِّرَّ.
أبلح,أَبْلَحَ يُبْلِحُ إبْلاحًا :- النخلُ: صار ثمره بَلَحاًَ أي تمراً لم ينضج بعد.
أبلد,أَبْلَدَ يُبْلدُ إبْلاداً : لصق بالأرض استكانةً وخضوعاًَ.- ـه المكانَ: ألزمه إيّاه؛ منعه المستعمر من السفر وأَبلده ديارَه. - بالمكان: اتخذه بلداً وأقام فيه؛ قد يُبْلِدُ الأنسانُ حيث يرزق.
أبلس,أَبْلَسَ يُبْلِسُ إبْلاساً . سكت لحيْرةٍ أو انقطاع حجّة وَيوْمَ تَقُومُ السَّاعَةُ يُبْلِسُ المُجْرِمُونَ.
أبلط,أبْلَطَ يُبْلِطُ إبْلاطاً : أفلس؛ أبلط التاجر إبَّان الأزمة الاقتصادية.- الد ارَ: فرشها بالبلاط وهو ضرب من الحجارة تفرس بها الأرض.
أبلع,أَبْلَعَ يُيْلِعُ إبْلاعاً : - ـه الشيءَ: جعله يبلعه أي يجريه من بلعومه إلى معدته؛ أبلعه الدواء،- ـه ريقَه: أمهله.
أبلغ,أَبْلَغَ يُبْلِغُ إبْلاغاً : أَوْصل.- ـه الخبرَ: خبّره به أَبْلَغْتُكُمْ مَا أُرْسِلْتُ بِهِ.
أبل,أَبَلَّ يُبِلُّ أَبْلِلْ إبْلالا :- العودُ: جرى ماؤه.- المريضُ: شُفي! فلمّا أبلّ من مرضه عاد إلى العمل.
أبلم,أبْلَمَ يُبْلِمُ إبْلاماً : ورمت شفتاه،- الرجلُ: سكت؛ حاولتُ محاورته فأبلم ولم يُجبني.
